,type,entry_time,exit_time,entry_price_bnf,exit_price_bnf,entry_price_nft,exit_price_nft,pnl
186,short_bnf-short_nifty,2020-01-09 13:15:00,2020-01-13 11:15:00,12218.1,12310.5,32103.2,32128.35,5248.749999999927
187,long_bnf-long_nifty,2020-01-13 13:15:00,2020-01-23 13:15:00,12330.7,12181.0,32167.85,30999.55,-36692.500000000015
188,long_bnf-long_nifty,2020-01-23 15:15:00,2020-01-24 09:15:00,12179.6,12229.3,31012.75,31253.3,8498.749999999927
189,short_bnf-short_nifty,2020-01-24 11:15:00,2020-01-27 15:15:00,12242.25,12109.9,31303.5,30819.2,-18725.0
190,short_bnf-short_nifty,2020-01-28 11:15:00,2020-01-29 15:15:00,12136.75,12132.0,31017.45,30872.65,-3857.499999999982
191,long_bnf-long_nifty,2020-01-30 09:15:00,2020-01-31 11:15:00,12054.1,11993.9,30607.25,30817.7,2251.249999999982
192,short_bnf-short_nifty,2020-01-31 13:15:00,2020-02-05 09:15:00,11958.0,12032.25,30829.05,30863.35,4569.999999999982
193,short_bnf-short_nifty,2020-02-05 11:15:00,2020-02-05 13:15:00,12014.45,12087.3,30796.95,30987.2,8398.749999999927
194,long_bnf-long_nifty,2020-02-05 15:15:00,2020-02-06 13:15:00,12091.95,12136.4,31018.0,31301.25,9303.749999999945
195,short_bnf-short_nifty,2020-02-06 15:15:00,2020-02-13 09:15:00,12133.25,12162.45,31286.7,31328.25,2498.750000000018
196,long_bnf-long_nifty,2020-02-13 11:15:00,2020-02-20 11:15:00,12157.45,12137.9,31262.2,31033.95,-6683.750000000055
197,short_bnf-short_nifty,2020-02-20 13:15:00,2020-03-02 13:15:00,12084.6,11049.8,30960.7,28628.05,-110056.25000000009
198,short_bnf-short_nifty,2020-03-03 09:15:00,2020-03-03 11:15:00,11198.0,11199.6,28914.45,28921.6,258.7499999999636
199,long_bnf-long_nifty,2020-03-03 13:15:00,2020-03-13 15:15:00,11297.8,10020.45,29167.6,25346.35,-159398.74999999994
200,short_bnf-short_nifty,2020-03-16 09:15:00,2020-03-16 11:15:00,9528.7,9434.95,23787.6,23601.55,-9338.749999999982
201,long_bnf-long_nifty,2020-03-16 13:15:00,2020-03-26 11:15:00,9174.65,8706.5,23028.55,20312.85,-91300.0
202,short_bnf-short_nifty,2020-03-26 13:15:00,2020-03-31 11:15:00,8622.5,8549.3,19577.55,19112.85,-15277.500000000055
203,long_bnf-long_nifty,2020-03-31 13:15:00,2020-04-09 15:15:00,8602.75,9098.55,19137.6,19876.45,43261.250000000015
204,short_bnf-short_nifty,2020-04-13 09:15:00,2020-04-13 11:15:00,9007.1,8992.8,19516.45,19500.95,-1102.5000000000546
205,short_bnf-short_nifty,2020-04-15 09:15:00,2020-04-15 13:15:00,9232.7,8926.05,20068.95,19048.45,-40845.00000000007
206,long_bnf-long_nifty,2020-04-15 15:15:00,2020-04-17 11:15:00,8942.6,9131.15,19120.9,19841.7,27447.499999999945
207,short_bnf-short_nifty,2020-04-17 13:15:00,2020-04-21 11:15:00,9273.55,8944.45,20748.55,19375.8,-50773.74999999993
208,long_bnf-long_nifty,2020-04-21 13:15:00,2020-04-27 15:15:00,8986.1,9289.6,19409.35,20080.8,31961.25000000002
209,short_bnf-short_nifty,2020-04-28 09:15:00,2020-05-04 11:15:00,9299.4,9357.25,20411.95,19944.1,-8803.750000000036
210,long_bnf-long_nifty,2020-05-04 13:15:00,2020-05-13 11:15:00,9277.7,9368.3,19708.25,19503.35,-592.5000000001091
211,long_bnf-long_nifty,2020-05-13 13:15:00,2020-05-13 15:15:00,9388.25,9383.25,19631.1,19643.35,56.25
212,short_bnf-short_nifty,2020-05-14 09:15:00,2020-05-15 11:15:00,9214.7,9086.4,19186.3,18770.0,-16822.500000000036
213,long_bnf-long_nifty,2020-05-15 13:15:00,2020-05-27 11:15:00,9134.7,9182.2,18831.15,18077.25,-16472.500000000036
214,short_bnf-short_nifty,2020-05-27 13:15:00,2020-06-04 15:15:00,9321.15,10030.75,18733.8,20379.35,76618.75
215,long_bnf-long_nifty,2020-06-05 09:15:00,2020-06-05 13:15:00,10081.95,10138.55,20576.0,21001.1,13457.49999999989
216,short_bnf-short_nifty,2020-06-05 15:15:00,2020-06-09 15:15:00,10168.2,10027.05,21177.4,20653.85,-20146.250000000146
217,long_bnf-long_nifty,2020-06-10 09:15:00,2020-06-10 13:15:00,10124.1,10129.3,20932.9,21169.25,6168.749999999909
218,short_bnf-short_nifty,2020-06-10 15:15:00,2020-06-11 15:15:00,10139.4,9910.15,21240.25,20534.4,-29108.749999999964
219,long_bnf-long_nifty,2020-06-12 09:15:00,2020-06-17 13:15:00,9715.75,9880.95,19894.7,20208.85,16113.749999999982
220,long_bnf-long_nifty,2020-06-17 15:15:00,2020-06-18 15:15:00,9876.85,10091.25,20197.1,20922.2,28847.500000000036
221,short_bnf-short_nifty,2020-06-19 09:15:00,2020-06-24 15:15:00,10139.55,10320.05,21163.75,21456.8,16351.249999999982
222,long_bnf-long_nifty,2020-06-25 09:15:00,2020-07-01 11:15:00,10334.6,10421.4,21488.2,21830.1,12887.499999999909
223,short_bnf-short_nifty,2020-07-01 13:15:00,2020-07-02 15:15:00,10436.4,10563.6,22005.05,21992.6,6048.750000000018
